Wall time,Step,Value
1686647946.4225943,30000,-385.8571472167969
1686648022.2682638,60000,-231.5833282470703
1686648098.5096934,90000,-242.39999389648438
1686648174.135,120000,-214.23403930664062
1686648250.4915633,150000,-224.17544555664062
1686648326.6807253,180000,-209.2957763671875
1686648402.5545025,210000,-207.20689392089844
1686648478.354172,240000,-211.05999755859375
1686648554.5704753,270000,-195.0500030517578
1686648630.637368,300000,-199.14999389648438
1686648706.6637337,330000,-188.66000366210938
1686648783.2508004,360000,-165.42999267578125
1686648860.0351825,390000,-142.77000427246094
1686648936.4312415,420000,-129.9600067138672
1686649012.5378125,450000,-100.44000244140625
1686649088.984556,480000,-92.8499984741211
1686649165.1682663,510000,-101.2300033569336
1686649241.1136374,540000,-114.37999725341797
1686649317.7177436,570000,-98.16999816894531
1686649394.6405962,600000,-93.69000244140625
1686649470.5277047,630000,-101.02999877929688
1686649546.746042,660000,-94.1500015258789
1686649623.2978013,690000,-83.80999755859375
1686649699.7088711,720000,-69.37999725341797
1686649776.0996625,750000,-71.83999633789062
1686649853.0782988,780000,-54.060001373291016
1686649929.926014,810000,-53.869998931884766
1686650006.2998705,840000,-64.68000030517578
1686650082.970179,870000,-70.45999908447266
1686650159.8180118,900000,-76.33999633789062
1686650236.4406333,930000,-82.12000274658203
1686650312.8574123,960000,-90.86000061035156
1686650389.6453984,990000,-88.37000274658203
1686650466.6374092,1020000,-86.37999725341797
1686650543.1196165,1050000,-76.76000213623047
1686650619.9300857,1080000,-75.63999938964844
1686650696.8814044,1110000,-64.5199966430664
1686650773.2233148,1140000,-54.38999938964844
1686650849.5238318,1170000,-51.59000015258789
1686650926.361349,1200000,-52.41999816894531
1686651002.9863508,1230000,-56.29999923706055
1686651079.2598953,1260000,-53.79999923706055
1686651155.7599065,1290000,-52.13999938964844
1686651232.4869442,1320000,-50.86000061035156
1686651308.8775759,1350000,-49.7599983215332
1686651385.213898,1380000,-46.40999984741211
1686651462.205548,1410000,-47.040000915527344
1686651538.7561095,1440000,-47.869998931884766
1686651615.0452542,1470000,-47.040000915527344
1686651691.7367911,1500000,-46.06999969482422
1686651768.5780425,1530000,-43.5099983215332
1686651845.0745113,1560000,-42.650001525878906
1686651921.5707197,1590000,-38.22999954223633
1686651998.613195,1620000,-34.279998779296875
1686652075.315249,1650000,-41.689998626708984
1686652151.48952,1680000,-42.150001525878906
1686652228.3305676,1710000,-35.290000915527344
1686652305.230031,1740000,-33.779998779296875
1686652382.1077368,1770000,-33.83000183105469
1686652459.0924573,1800000,-29.450000762939453
1686652536.319149,1830000,-25.059999465942383
